source,productid,mobilename,userid,review,rating,reviewdate
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Risha Sarkar,...Camera is awesome Specially front camera is 1010A sligh,,2025-08-07
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Flipkart Customer,...Very poor camera quality.Overall performance is bad,,2025-09-14
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Ramesh K,...Super reasonable but back camera low quality,,2025-09-29
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Ravindra velip,...Nic camera n very slim phone,,2025-08-07
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Prakash Kumar,...hourse puls Minutes with Google 33w ChargerCamera best phoneBut display normal,,2025-10-04
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Sudutta Mandal,"...Front camera's Portrait Mode has dynamic range handling issue, no touch to focus or exposure control till now.",,2025-08-07
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Harpreet Singh,...Every function lite speaker  camera not goo,,2025-08-07
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Pratik More,...Best camera phoneBest display ,,2025-10-04
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Ram  Vyas,...Great Camera ,,2025-10-02
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Prashant Yadav,...camera is not that great but video is really amazing But i am also using nothing phone it is amazing experience of U,,2025-10-06
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Sumit Meena,...Apple need to improve in camera app to much real photo captured in camera.,,2025-09-07
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Kaluvaya Sreenivasulu,...Camera not working,,2025-08-07
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Lalu Kumar,...Camera quality is excellentBattery backup is durablePerformence is,,2025-09-07
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Aman Raj,...BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH.,,2025-07-07
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Amit kumar Tiwary,...Samsung a35 smartphone is good  camera ossam,,2025-06-07
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Amit Kumar Sahu,...Only camera quality not up to the mark I was exchange from iPhone xr believe me XR camera much better than A35,,2025-06-07
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Prince  Kushwaha,"...The camera quality is top-notch, capturing sharp and vibrant photos even in low light.",,2025-06-07
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",anmolsingh  anmol,...iPhone 13pro max to 16The camera qualities is fab,,2025-09-30
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Pintu Harsha,...Perfomance wise also good ...No doubt about camera (stunning,,2025-10-02
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Shubham Gupta,...Nice phone in terms of use and camera quality,,2025-10-02
