timestamp,type,message
2025-10-05 14:02:49,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-06 17:59:03,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-06 17:59:06,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-06 17:59:09,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-06 17:59:12,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-06 17:59:15,Price Drop,"Price Drop Alert 🚨

Product: Samsung Galaxy S24 FE 5G (Blue, 128 GB)
Old Price: ₹33999.0
New Price: ₹29999.0
Drop: 11.77%

Check competitor site immediately."
2025-10-06 17:59:18,Price Drop,"Price Drop Alert 🚨

Product: Samsung Galaxy S24 FE 5G (Blue, 128 GB)
Old Price: ₹33999.0
New Price: ₹29999.0
Drop: 11.77%

Check competitor site immediately."
2025-10-06 17:59:20,Price Drop,"Price Drop Alert 🚨

Product: vivo T4R 5G (Twilight Blue, 128 GB)
Old Price: ₹23499.0
New Price: ₹19499.0
Drop: 17.02%

Check competitor site immediately."
2025-10-06 17:59:23,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-07 17:44:26,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-07 17:44:30,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-07 17:44:33,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-07 17:44:36,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-07 17:44:40,Price Drop,"Price Drop Alert 🚨

Product: Samsung Galaxy S24 FE 5G (Blue, 128 GB)
Old Price: ₹33999.0
New Price: ₹29999.0
Drop: 11.77%

Check competitor site immediately."
2025-10-07 17:44:42,Price Drop,"Price Drop Alert 🚨

Product: Samsung Galaxy S24 FE 5G (Blue, 128 GB)
Old Price: ₹33999.0
New Price: ₹29999.0
Drop: 11.77%

Check competitor site immediately."
2025-10-07 17:44:45,Price Drop,"Price Drop Alert 🚨

Product: vivo T4R 5G (Twilight Blue, 128 GB)
Old Price: ₹23499.0
New Price: ₹19499.0
Drop: 17.02%

Check competitor site immediately."
2025-10-07 17:44:48,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-07 17:44:51,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹14499.0
Drop: 12.12%

Check competitor site immediately."
2025-10-07 17:44:54,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 17:44:57,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 17:45:00,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 17:53:45,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-07 17:53:49,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-07 17:53:52,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-07 17:53:55,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-07 17:53:58,Price Drop,"Price Drop Alert 🚨

Product: Samsung Galaxy S24 FE 5G (Blue, 128 GB)
Old Price: ₹33999.0
New Price: ₹29999.0
Drop: 11.77%

Check competitor site immediately."
2025-10-07 17:54:02,Price Drop,"Price Drop Alert 🚨

Product: Samsung Galaxy S24 FE 5G (Blue, 128 GB)
Old Price: ₹33999.0
New Price: ₹29999.0
Drop: 11.77%

Check competitor site immediately."
2025-10-07 17:54:05,Price Drop,"Price Drop Alert 🚨

Product: vivo T4R 5G (Twilight Blue, 128 GB)
Old Price: ₹23499.0
New Price: ₹19499.0
Drop: 17.02%

Check competitor site immediately."
2025-10-07 17:54:08,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-07 17:54:11,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹14499.0
Drop: 12.12%

Check competitor site immediately."
2025-10-07 17:54:14,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 17:54:17,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 17:54:19,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 17:54:22,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 17:54:25,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 17:54:28,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 17:54:31,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Marine Blue, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-07 18:09:56,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-07 18:09:59,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-07 18:10:02,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-07 18:10:05,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹9999.0
Drop: 23.08%

Check competitor site immediately."
2025-10-07 18:10:08,Price Drop,"Price Drop Alert 🚨

Product: Samsung Galaxy S24 FE 5G (Blue, 128 GB)
Old Price: ₹33999.0
New Price: ₹29999.0
Drop: 11.77%

Check competitor site immediately."
2025-10-07 18:10:11,Price Drop,"Price Drop Alert 🚨

Product: Samsung Galaxy S24 FE 5G (Blue, 128 GB)
Old Price: ₹33999.0
New Price: ₹29999.0
Drop: 11.77%

Check competitor site immediately."
2025-10-07 18:10:14,Price Drop,"Price Drop Alert 🚨

Product: vivo T4R 5G (Twilight Blue, 128 GB)
Old Price: ₹23499.0
New Price: ₹19499.0
Drop: 17.02%

Check competitor site immediately."
2025-10-07 18:10:17,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹13499.0
Drop: 18.18%

Check competitor site immediately."
2025-10-07 18:10:20,Price Drop,"Price Drop Alert 🚨

Product: vivo T4x 5G (Pronto Purple, 128 GB)
Old Price: ₹16499.0
New Price: ₹14499.0
Drop: 12.12%

Check competitor site immediately."
2025-10-07 18:10:23,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
2025-10-07 18:10:27,Price Drop,"Price Drop Alert 🚨

Product: vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)
Old Price: ₹12999.0
New Price: ₹10999.0
Drop: 15.39%

Check competitor site immediately."
