source,productid,mobilename,userid,review,rating,reviewdate
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Risha Sarkar,...Camera is awesome 💯Specially front camera is 10/10A sligh,,2 months ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Flipkart Customer,...Very poor camera quality.Overall performance is bad,,23 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Ramesh K,...Super reasonable but back camera low quality,,8 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Ravindra velip,...Nic camera n very slim phone,,2 months ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Prakash Kumar,...hourse puls Minutes with Google 33w ChargerCamera best phoneBut display normal,,3 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Sudutta Mandal,"...Front camera's Portrait Mode has dynamic range handling issue, no touch to focus or exposure control till now.",,2 months ago
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",Harpreet Singh,...Every function lite speaker 🔇 camera not goo,,2 months ago
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Pratik More,...Best camera phoneBest display 👌,,3 days ago
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Ram  Vyas,...Great Camera 👌❤,,5 days ago
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Prashant Yadav,...camera is not that great but video is really amazing 👑But i am also using nothing phone it is amazing experience of U,,1 day ago
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Sumit Meena,...Apple need to improve in camera app to much real photo captured in camera.,,1 month ago
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",Kaluvaya Sreenivasulu,...Camera not working,,2 months ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Lalu Kumar,...Camera quality is excellentBattery backup is durablePerformence is,,1 month ago
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",Aman Raj,...BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH.,,3 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Amit kumar Tiwary,...Samsung a35 smartphone is good 👍 camera ossam,,4 months ago
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",Amit Kumar Sahu,...Only camera quality not up to the mark I was exchange from iPhone xr believe me XR camera much better than A35,,4 months ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Prince  Kushwaha,"...The camera quality is top-notch, capturing sharp and vibrant photos even in low light.",,4 months ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",anmolsingh  anmol,...iPhone 13pro max to 16The camera qualities is fab�,,7 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Pintu Harsha,...Perfomance wise also good 👍🏻...No doubt about camera (stunning,,5 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Shubham Gupta,...Nice phone in terms of use and camera quality,,5 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Sayantan Mondal,"...Amazing phone ,camera quantity top-notch.Good performance.",,8 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",BISWARUP GHOSH,...NO DOUBT ABOUT IPHONE 16. CAMERA IS EXCELLENT.BATTERY IS MODERATE. DISPLAY IS MUCH BETTER,,6 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Sanjeev Bhati,...Amazing iphone ever .Camera is great and inland feel is amazing.Thanks flipkart,,1 day ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Sougata Roy,...Intelligence is not available out of the box.Camera quality is awesome.,,"Sep, 2024"
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Abhijeet  Modak,...Very nice phone. I got this in BBD.Camera quality is superb.,,7 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Rohan Bhosale,...Cameras Quality is Too Good Photos Click like a DSLR camera ❤️,,2 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Yash Vishwakarma,...Camera is  so good and have 5x optical zoom�,,2 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Pankaj Dhalwal,...The quality of the camera is very low while the 12 MP camera of the iPhone X is 100 times better.,,5 months ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Rinku singh,...Nyc Phone with the camera quality,,4 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Saurabh Suman,...Camera is good in terms of videography.But for photography I will not recommend,,4 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Rohan Bhosale,...Camera Quality is too Good Photos shoot like a DSLR Camera ❤️,,2 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Zahid Ansari,...comfortable to keep in pocket..good display size..camera quality Is good ..and abt performance of battery little bit,,4 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Santharao,...Excellent performanceGood camera qualityGood design,,7 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Shahil  Ansari,...Everything is fine and the camera is also very good.�,,7 days ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Lalu Kumar,...Camera quality is excellentBattery backup is durablePerformence is,,1 month ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Aman Raj,...BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH.,,3 months ago
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",Anonymous,,,
flipkart,8553dc1ee56ee,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",shivam sharma,...multimedia.2. Battery backup is good.3. Camera quality is also good.Cons:No back Cover.No tempered for screen,,4 months ago
flipkart,637e7bca8a605,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",AKRAM OSAMA,...Camera :- 5/5Battery:- 5/5Performance:- 5/5Design 4/5,,4 months ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Prince  Kushwaha,"...The camera quality is top-notch, capturing sharp and vibrant photos even in low light.",,4 months ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",anmolsingh  anmol,...iPhone 13pro max to 16The camera qualities is fab�,,7 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Pintu Harsha,...Perfomance wise also good 👍🏻...No doubt about camera (stunning,,5 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Shubham Gupta,...Nice phone in terms of use and camera quality,,5 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Sayantan Mondal,"...Amazing phone ,camera quantity top-notch.Good performance.",,8 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",BISWARUP GHOSH,...NO DOUBT ABOUT IPHONE 16. CAMERA IS EXCELLENT.BATTERY IS MODERATE. DISPLAY IS MUCH BETTER,,6 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Sanjeev Bhati,...Amazing iphone ever .Camera is great and inland feel is amazing.Thanks flipkart,,1 day ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Sougata Roy,...Intelligence is not available out of the box.Camera quality is awesome.,,"Sep, 2024"
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Abhijeet  Modak,...Very nice phone. I got this in BBD.Camera quality is superb.,,7 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Rohan Bhosale,...Cameras Quality is Too Good Photos Click like a DSLR camera ❤️,,2 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Yash Vishwakarma,...Camera is  so good and have 5x optical zoom�,,2 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Pankaj Dhalwal,...The quality of the camera is very low while the 12 MP camera of the iPhone X is 100 times better.,,5 months ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Rinku singh,...Nyc Phone with the camera quality,,4 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Saurabh Suman,...Camera is good in terms of videography.But for photography I will not recommend,,4 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Rohan Bhosale,...Camera Quality is too Good Photos shoot like a DSLR Camera ❤️,,2 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Zahid Ansari,...comfortable to keep in pocket..good display size..camera quality Is good ..and abt performance of battery little bit,,4 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Santharao,...Excellent performanceGood camera qualityGood design,,7 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Shahil  Ansari,...Everything is fine and the camera is also very good.�,,7 days ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Lalu Kumar,...Camera quality is excellentBattery backup is durablePerformence is,,1 month ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Aman Raj,...BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH.,,3 months ago
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",Anonymous,,,
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Suman Banerjee,...Camera control is okayish till now in terms of user experience and friendliness,,11 months ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Yash Vishwakarma,...Great camera and 5x telephoto �,,2 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Flipkart Customer,...Little bit heat issues !Still good at everything 🫶🏻Camera is too awesome,,2 days ago
